Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
74,147.04,149.04,Speaker_00,0.9,A second ji.,False,False
75,149.04,151.04,Speaker_01,0.9,Yes.,False,False
76,155.04,157.04,Speaker_00,0.9,It is not a famous art.,False,False
77,157.04,158.04,Speaker_01,0.9,No one has been talking about it.,False,False
78,158.04,159.04,Speaker_00,0.9,You have been given the word.,False,False
79,159.04,160.04,Speaker_01,0.9,It is not a tension.,False,False
80,160.04,161.04,Speaker_00,0.9,"So, order.",False,False
81,161.04,162.04,Speaker_01,0.9,Okay.,False,False
82,162.04,163.04,Speaker_00,0.9,Please.,False,False
83,163.04,164.04,Speaker_01,0.9,Please.,False,False
84,164.04,165.04,Speaker_00,0.9,Come on.,False,False
85,165.04,166.04,Speaker_01,0.9,Take a look.,False,False
86,166.04,167.04,Speaker_00,0.9,Okay madam.,False,False
87,167.04,168.04,Speaker_01,0.9,Take care.,False,False
88,168.04,169.04,Speaker_00,0.9,Take care.,False,False
89,169.04,170.04,Speaker_01,0.9,Take care.,False,False
90,170.04,171.04,Speaker_00,0.9,Take care.,False,False
91,171.04,172.04,Speaker_01,0.9,Bangalore valayadra.,False,False
92,172.04,173.04,Speaker_00,0.9,Okay madam.,False,False
93,173.04,175.04,Speaker_01,0.9,Thank you.,False,False
94,175.04,176.04,Speaker_00,0.9,God bless you.,False,False
95,176.04,177.04,Speaker_01,0.9,Okay.,False,False
96,177.04,179.04,Speaker_00,0.9,Bangalore valayadra.,False,False
97,179.04,181.04,Speaker_01,0.9,This is 191st morning.,False,True
98,181.04,185.04,Speaker_00,0.9,"First main first cross,",False,False
99,185.04,187.04,Speaker_01,0.9,"For the first morning,",False,False
100,187.04,188.04,Speaker_00,0.9,"If we go to Bangalore,",False,False
101,188.04,189.04,Speaker_01,0.9,5600.,False,True
102,189.04,191.04,Speaker_00,0.9,"Yes madam, we go.",False,False
103,191.04,192.04,Speaker_01,0.9,Take care.,False,False
104,192.04,193.04,Speaker_00,0.9,Okay.,False,False
105,193.04,196.04,Speaker_01,0.9,"Kali ji, and quality kaya Maharam.",False,False
106,197.04,198.04,Speaker_00,0.9,"Oh, has he?",False,False
107,198.04,200.04,Speaker_01,0.9,He has not come yet. He can't sit yet.,False,False
108,202.04,203.04,Speaker_00,0.9,Bhilko ji.,False,False
109,203.04,204.04,Speaker_01,0.9,Hello.,False,False
110,206.04,207.04,Speaker_00,0.9,Okay Maharam.,False,False
111,207.04,208.04,Speaker_01,0.9,Come.,False,False
112,208.04,209.04,Speaker_00,0.9,Kali ji.,False,False
113,211.04,212.04,Speaker_01,0.9,Okay.,False,False
114,212.04,213.04,Speaker_00,0.9,Total 250 rupee horayi ji.,False,True
115,214.04,216.04,Speaker_01,0.9,95 rupee ji.,False,True
116,217.04,218.04,Speaker_00,0.9,Okay Maharam.,False,False
117,218.04,219.04,Speaker_01,0.9,Okay Kali ji.,False,False
118,220.04,222.04,Speaker_00,0.9,So final kar retyu ji?,False,False
119,222.04,224.04,Speaker_01,0.9,Okay Maharam.,False,False
120,225.04,227.04,Speaker_00,0.9,"Very, very shookri ji.",False,False
121,227.04,228.04,Speaker_01,0.9,Order place.,False,False
122,228.04,229.04,Speaker_00,0.9,Okay Maharam.,False,False
123,229.04,230.04,Speaker_01,0.9,Okay. Thank you Maharam.,False,False
