Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
74,289.24,291.24,Speaker_00,0.9,"And, if you don't know your name, then you will have to be a 10-per meter.",False,True
75,291.24,294.24,Speaker_01,0.9,"So, if you don't know your name, then you will have to be a 10-per meter.",False,True
76,294.24,295.24,Speaker_00,0.9,"So, let's go.",False,False
77,295.24,296.24,Speaker_01,0.9,Let's go.,False,False
78,296.24,297.24,Speaker_00,0.9,Let's go.,False,False
79,297.24,300.24,Speaker_01,0.9,"It means, if you don't know the road, then you will have to be a 10-per meter.",False,True
80,300.24,303.24,Speaker_00,0.9,It is a very good name.,False,False
81,303.24,304.24,Speaker_01,0.9,Very good name.,False,False
82,304.24,305.24,Speaker_00,0.9,Whereops.,False,False
83,305.24,306.24,Speaker_01,0.9,Indum solid name.,False,False
84,306.24,307.24,Speaker_00,0.9,Suraj Bhai.,False,False
