Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
78,107.0,108.0,Speaker_00,0.9,Okay.,False,False
79,108.0,109.0,Speaker_01,0.9,Okay.,False,False
80,109.0,110.0,Speaker_00,0.9,Okay.,False,False
81,110.0,111.0,Speaker_01,0.9,Okay.,False,False
82,111.0,112.0,Speaker_00,0.9,Okay.,False,False
83,112.0,113.0,Speaker_01,0.9,Okay.,False,False
84,113.0,114.0,Speaker_00,0.9,Okay.,False,False
85,114.0,115.0,Speaker_01,0.9,Okay.,False,False
86,115.0,116.0,Speaker_00,0.9,Okay.,False,False
87,116.0,117.0,Speaker_01,0.9,Okay.,False,False
88,117.0,118.0,Speaker_00,0.9,Okay.,False,False
89,118.0,119.0,Speaker_01,0.9,Okay.,False,False
90,119.0,120.0,Speaker_00,0.9,Okay.,False,False
91,120.0,121.0,Speaker_01,0.9,Thank you.,False,False
92,121.0,122.0,Speaker_00,0.9,Okay.,False,False
93,122.0,123.0,Speaker_01,0.9,"So, bookadunji?",False,False
94,123.0,124.0,Speaker_00,0.9,Bookadunji?,False,False
95,124.0,125.0,Speaker_01,0.9,Bookadunji?,False,False
96,125.0,126.0,Speaker_00,0.9,No.,False,False
97,126.0,127.0,Speaker_01,0.9,Bookadunji?,False,False
98,127.0,128.0,Speaker_00,0.9,It's a famous article.,False,False
99,128.0,129.0,Speaker_01,0.9,It's a page.,False,False
100,129.0,130.0,Speaker_00,0.9,No.,False,False
101,130.0,131.0,Speaker_01,0.9,"Oh, no.",False,False
102,131.0,133.0,Speaker_00,0.9,I have been working on a technical issue.,False,False
103,133.0,135.0,Speaker_01,0.9,I have been working on a technical issue.,False,False
104,136.0,137.0,Speaker_00,0.9,You have been working on a technical issue.,False,False
105,137.0,139.0,Speaker_01,0.9,What is the name of the page?,False,False
106,139.0,140.0,Speaker_00,0.9,Hello.,False,False
107,140.0,141.0,Speaker_01,0.9,Isn't it a page?,False,False
108,141.0,142.0,Speaker_00,0.9,"One second, Rukyaji.",False,False
109,142.0,143.0,Speaker_01,0.9,I will check.,False,False
110,143.0,144.0,Speaker_00,0.9,I will check.,False,False
111,144.0,145.0,Speaker_01,0.9,I will tell you.,False,False
112,145.0,146.0,Speaker_00,0.9,Please.,False,False
113,146.0,148.0,Speaker_01,0.9,One second.,False,False
114,148.0,149.0,Speaker_00,0.9,Yeah.,False,False
115,149.0,150.0,Speaker_01,0.9,Yes.,False,False
116,154.0,155.0,Speaker_00,0.9,Yes.,False,False
117,155.0,156.0,Speaker_01,0.9,The name is not a page.,False,False
118,156.0,157.0,Speaker_00,0.9,No.,False,False
119,157.0,158.0,Speaker_01,0.9,No.,False,False
120,158.0,159.0,Speaker_00,0.9,You have been working on a technical issue.,False,False
121,159.0,160.0,Speaker_01,0.9,No.,False,False
122,160.0,162.0,Speaker_00,0.9,"So, order, plowker, moonji.",False,False
123,162.0,163.0,Speaker_01,0.9,"Please, please.",False,False
124,163.0,164.0,Speaker_00,0.9,Please.,False,False
125,164.0,165.0,Speaker_01,0.9,Please.,False,False
126,165.0,166.0,Speaker_00,0.9,Please.,False,False
127,166.0,167.0,Speaker_01,0.9,"Okay, madam.",False,False
128,167.0,168.0,Speaker_00,0.9,Please.,False,False
129,168.0,169.0,Speaker_01,0.9,Please.,False,False
130,169.0,170.0,Speaker_00,0.9,Take care.,False,False
131,170.0,171.0,Speaker_01,0.9,Okay.,False,False
132,171.0,172.0,Speaker_00,0.9,Okay.,False,False
133,172.0,173.0,Speaker_01,0.9,Okay.,False,False
134,173.0,174.0,Speaker_00,0.9,Okay.,False,False
135,174.0,175.0,Speaker_01,0.9,Thank you.,False,False
136,175.0,176.0,Speaker_00,0.9,Okay.,False,False
137,176.0,177.0,Speaker_01,0.9,Okay.,False,False
138,177.0,178.0,Speaker_00,0.9,Okay.,False,False
139,178.0,179.0,Speaker_01,0.9,Okay.,False,False
140,179.0,180.0,Speaker_00,0.9,Okay.,False,False
141,180.0,181.0,Speaker_01,0.9,Okay.,False,False
142,181.0,182.0,Speaker_00,0.9,Okay.,False,False
143,182.0,184.0,Speaker_01,0.9,First main first cross moodla palya nagar,False,True
144,184.0,187.0,Speaker_00,0.9,"Vavi road, Bangalore Pinko, 560772.",False,True
145,187.0,188.0,Speaker_01,0.9,Yes.,False,False
146,188.0,189.0,Speaker_00,0.9,Madam.,False,False
147,189.0,190.0,Speaker_01,0.9,Okay.,False,False
148,190.0,191.0,Speaker_00,0.9,Okay.,False,False
149,191.0,192.0,Speaker_01,0.9,Okay.,False,False
150,193.0,194.0,Speaker_00,0.9,Okay.,False,False
151,194.0,195.0,Speaker_01,0.9,Okay.,False,False
152,195.0,196.0,Speaker_00,0.9,And quality case.,False,False
153,196.0,197.0,Speaker_01,0.9,Madam.,False,False
154,197.0,198.0,Speaker_00,0.9,So.,False,False
155,198.0,199.0,Speaker_01,0.9,Hashting.,False,False
156,199.0,200.0,Speaker_00,0.9,No.,False,False
157,200.0,201.0,Speaker_01,0.9,Can I get a return?,False,False
158,201.0,202.0,Speaker_00,0.9,Okay.,False,False
159,202.0,203.0,Speaker_01,0.9,Okay.,False,False
160,203.0,204.0,Speaker_00,0.9,Okay.,False,False
161,204.0,205.0,Speaker_01,0.9,Okay.,False,False
162,205.0,206.0,Speaker_00,0.9,Madam.,False,False
163,206.0,207.0,Speaker_01,0.9,Okay.,False,False
164,207.0,208.0,Speaker_00,0.9,Madam.,False,False
165,208.0,209.0,Speaker_01,0.9,Okay.,False,False
166,209.0,210.0,Speaker_00,0.9,Okay.,False,False
167,210.0,211.0,Speaker_01,0.9,Okay.,False,False
168,211.0,212.0,Speaker_00,0.9,Okay.,False,False
169,212.0,213.0,Speaker_01,0.9,Total 250 rupees.,False,True
170,213.0,214.0,Speaker_00,0.9,Okay.,False,False
171,214.0,215.0,Speaker_01,0.9,95 rupees.,False,True
172,215.0,216.0,Speaker_00,0.9,Okay.,False,False
173,216.0,218.0,Speaker_01,0.9,Okay.,False,False
174,218.0,219.0,Speaker_00,0.9,Okay.,False,False
175,219.0,220.0,Speaker_01,0.9,Okay.,False,False
176,221.0,222.0,Speaker_00,0.9,"So, final card Rati Uji.",False,False
177,222.0,223.0,Speaker_01,0.9,Okay.,False,False
178,223.0,224.0,Speaker_00,0.9,Okay.,False,False
179,224.0,225.0,Speaker_01,0.9,Okay.,False,False
180,225.0,226.0,Speaker_00,0.9,Very.,False,False
181,226.0,227.0,Speaker_01,0.9,Very.,False,False
182,227.0,228.0,Speaker_00,0.9,Order place.,False,False
183,228.0,229.0,Speaker_01,0.9,Okay.,False,False
184,229.0,230.0,Speaker_00,0.9,Okay.,False,False
185,230.0,231.0,Speaker_01,0.9,Thank you.,False,False
