Sequence,Start (s),End (s),Speaker,Confidence,Text,Has Threat,Has Entity
76,106.0,107.0,Speaker_00,0.9,Madam.,False,False
77,107.0,109.0,Speaker_01,0.9,I can not pay you.,False,False
78,109.0,110.0,Speaker_00,0.9,Okay.,False,False
79,110.0,111.0,Speaker_01,0.9,Sir.,False,False
80,111.0,112.0,Speaker_00,0.9,Sir.,False,False
81,112.0,113.0,Speaker_01,0.9,Sir.,False,False
82,113.0,114.0,Speaker_00,0.9,Sir.,False,False
83,114.0,115.0,Speaker_01,0.9,Sir.,False,False
84,115.0,116.0,Speaker_00,0.9,Okay.,False,False
85,116.0,117.0,Speaker_01,0.9,Okay.,False,False
86,117.0,118.0,Speaker_00,0.9,Okay.,False,False
87,118.0,119.0,Speaker_01,0.9,Okay.,False,False
88,119.0,120.0,Speaker_00,0.9,Madam.,False,False
89,120.0,121.0,Speaker_01,0.9,Thank you.,False,False
90,121.0,122.0,Speaker_00,0.9,Sir.,False,False
91,122.0,124.0,Speaker_01,0.9,"So, what is the work done?",False,False
92,124.0,126.0,Speaker_00,0.9,How is the book?,False,False
93,126.0,127.0,Speaker_01,0.9,Yes.,False,False
94,127.0,129.0,Speaker_00,0.9,It is a very hard day.,False,False
95,129.0,132.0,Speaker_01,0.9,I have not come to my side.,False,False
96,132.0,134.0,Speaker_00,0.9,I have not come to my side.,False,False
97,134.0,135.0,Speaker_01,0.9,I have not come to my side.,False,False
98,135.0,137.0,Speaker_00,0.9,I have not come to my side.,False,False
99,137.0,139.0,Speaker_01,0.9,What is the matter?,False,False
100,139.0,140.0,Speaker_00,0.9,Hello.,False,False
101,140.0,141.0,Speaker_01,0.9,Isn't it a good day?,False,False
102,141.0,143.0,Speaker_00,0.9,"One second, Rukyaji.",False,False
103,143.0,144.0,Speaker_01,0.9,I will check.,False,False
104,144.0,145.0,Speaker_00,0.9,I will tell you.,False,False
105,145.0,146.0,Speaker_01,0.9,Please.,False,False
106,146.0,148.0,Speaker_00,0.9,One second.,False,False
107,148.0,149.0,Speaker_01,0.9,Yeah.,False,False
108,149.0,150.0,Speaker_00,0.9,Yes.,False,False
109,154.0,155.0,Speaker_01,0.9,Yes.,False,False
110,155.0,156.0,Speaker_00,0.9,It is not a payment.,False,False
111,156.0,157.0,Speaker_01,0.9,No.,False,False
112,157.0,158.0,Speaker_00,0.9,No.,False,False
113,158.0,159.0,Speaker_01,0.9,You have come to my side.,False,False
114,159.0,160.0,Speaker_00,0.9,I have not come to my side.,False,False
115,160.0,161.0,Speaker_01,0.9,"So, order.",False,False
116,161.0,162.0,Speaker_00,0.9,Okay.,False,False
117,162.0,163.0,Speaker_01,0.9,Please.,False,False
118,163.0,164.0,Speaker_00,0.9,Please.,False,False
119,164.0,165.0,Speaker_01,0.9,Come on.,False,False
120,166.0,167.0,Speaker_00,0.9,Okay.,False,False
121,167.0,168.0,Speaker_01,0.9,Madam.,False,False
122,168.0,169.0,Speaker_00,0.9,Okay.,False,False
123,169.0,170.0,Speaker_01,0.9,Take care.,False,False
124,170.0,171.0,Speaker_00,0.9,Okay.,False,False
125,171.0,172.0,Speaker_01,0.9,Okay.,False,False
126,172.0,173.0,Speaker_00,0.9,Okay.,False,False
127,173.0,174.0,Speaker_01,0.9,Madam.,False,False
128,174.0,175.0,Speaker_00,0.9,You have come to my side.,False,False
129,177.0,178.0,Speaker_01,0.9,Okay.,False,False
130,178.0,179.0,Speaker_00,0.9,Okay.,False,False
131,179.0,180.0,Speaker_01,0.9,Okay.,False,False
132,180.0,181.0,Speaker_00,0.9,Okay.,False,False
133,181.0,183.0,Speaker_01,0.9,First main first cross.,False,False
134,183.0,184.0,Speaker_00,0.9,First main first cross.,False,False
135,184.0,185.0,Speaker_01,0.9,"If we wrote,",False,False
136,185.0,187.0,Speaker_00,0.9,56007.,False,True
137,187.0,188.0,Speaker_01,0.9,Yes.,False,False
138,188.0,189.0,Speaker_00,0.9,Madam.,False,False
139,189.0,190.0,Speaker_01,0.9,Okay.,False,False
140,190.0,191.0,Speaker_00,0.9,Okay.,False,False
141,191.0,192.0,Speaker_01,0.9,Okay.,False,False
142,192.0,193.0,Speaker_00,0.9,Okay.,False,False
143,193.0,194.0,Speaker_01,0.9,Okay.,False,False
144,194.0,195.0,Speaker_00,0.9,Okay.,False,False
145,195.0,197.0,Speaker_01,0.9,And the quality case is not good.,False,False
146,197.0,198.0,Speaker_00,0.9,Oh.,False,False
147,198.0,199.0,Speaker_01,0.9,Yes.,False,False
148,199.0,200.0,Speaker_00,0.9,No.,False,False
149,200.0,201.0,Speaker_01,0.9,Can I write it?,False,False
150,201.0,202.0,Speaker_00,0.9,Okay.,False,False
151,202.0,203.0,Speaker_01,0.9,Okay.,False,False
152,203.0,204.0,Speaker_00,0.9,Okay.,False,False
153,204.0,206.0,Speaker_01,0.9,Okay.,False,False
154,206.0,207.0,Speaker_00,0.9,Okay.,False,False
155,207.0,208.0,Speaker_01,0.9,Okay.,False,False
156,208.0,209.0,Speaker_00,0.9,Okay.,False,False
157,209.0,210.0,Speaker_01,0.9,Okay.,False,False
158,210.0,211.0,Speaker_00,0.9,Okay.,False,False
159,211.0,212.0,Speaker_01,0.9,Okay.,False,False
160,212.0,214.0,Speaker_00,0.9,Total 250 rupees.,False,True
161,214.0,215.0,Speaker_01,0.9,95 rupees.,False,True
162,215.0,216.0,Speaker_00,0.9,Okay.,False,False
163,216.0,218.0,Speaker_01,0.9,Okay.,False,False
164,218.0,219.0,Speaker_00,0.9,Okay.,False,False
165,219.0,220.0,Speaker_01,0.9,Okay.,False,False
166,220.0,221.0,Speaker_00,0.9,Okay.,False,False
167,221.0,223.0,Speaker_01,0.9,Okay.,False,False
168,223.0,224.0,Speaker_00,0.9,Okay.,False,False
169,224.0,225.0,Speaker_01,0.9,Okay.,False,False
170,225.0,226.0,Speaker_00,0.9,Okay.,False,False
171,226.0,227.0,Speaker_01,0.9,Okay.,False,False
172,227.0,228.0,Speaker_00,0.9,Okay.,False,False
173,228.0,229.0,Speaker_01,0.9,Okay.,False,False
174,229.0,230.0,Speaker_00,0.9,Okay.,False,False
175,230.0,231.0,Speaker_01,0.9,Thank you.,False,False
